1960,3.687427652110386e-08
1961, 4.087655050000194e-08
1962, 4.6418118238023e-08
1963, 5.050293161446007e-08
1964, 5.919697088074827e-08
1965, 7.13439319050784e-08
1966, 8.41279706215963e-08
1967, 9.959733457013239e-08
1968, 1.19138649422114e-07
1969, 1.359107741905063e-07
1970, 1.581944622281688e-07
1971, 1.797960140135858e-07
1972, 1.97278658171334e-07
1973, 2.1354738675784437e-07
1974, 2.288478465776019e-07
1975, 2.451902685964212e-07
1976, 2.578903308046522e-07
1977, 2.706733174103907e-07
1978, 2.869289679503189e-07
1979, 3.030647519608465e-07
1980, 3.165402842699093e-07
1981, 3.342274226270092e-07
1982, 3.48367754960626e-07
1983, 3.701762888600309e-07
1984, 3.9945790116949597e-07
1985, 4.2507303987804335e-07
1986, 4.611512127082408e-07
1987, 4.977308094566979e-07
1988, 5.314420060845546e-07
1989, 5.674373377522508e-07
1990, 6.015345093146607e-07
1991, 6.339894623254491e-07
1992, 6.630039349277336e-07
1993, 6.898106010209761e-07
1994, 7.292907996868183e-07
1995, 7.623202528910562e-07
1996, 8.133670072701143e-07
1997, 9.358115481258469e-07
1998, 1.0620905024032769e-06
1999, 1.209215879173695e-06
2000, 1.362505478092706e-06
2001, 1.507153253247192e-06
2002, 1.682932390524781e-06
2003, 1.843849385555326e-06
2004, 1.974562629974181e-06
2005, 2.130212757427736e-06
2006, 2.361677128906844e-06
2007, 2.646922553140029e-06
2008, 3.025356655988227e-06
2009, 3.341229005725056e-06
2010, 3.681643777651645e-06
2011, 4.260194957948572e-06
2012, 4.833613762197533e-06
2013, 5.231264887178051e-06
2014, 5.661821887770202e-06
2015, 5.8179274934186e-06
2016, 6.012157038120286e-06
2017, 6.259904694161378e-06
2018, 6.213138840394094e-06
2019, 6.081406127123046e-06
